code,name,vendor_code,color,price,stock,sizes
А20,"Трусики еротичні ""Лілія"", різні кольори. Код: А20",,різні кольори,210,3,рожевий
А69,"Эротический набор бордо, S, M, L, XL. Код: А69",#27/13,бордо,699,1,L/XL бордо
А166,"Сексуальний комплект с вишивкою, S. Код: А166",,мікс кольорів,980,1,S
А170,"Еротичний комплект кольору ізумруд, L. Код: А170",,зелений,700,1,L
А183,Еротичний комплект в сітку. Код: А183,"#9046-1, 9046-2","чорний, червоний",350,2,чорний
А195,Червоні еротичні колготки з доступом. Код: А195,#5024,червоний,250,1,червоний
А206,Боді сітка на тіло. Код: А206090,#8836,чорний,320,1,чорний
А206,Боді на тіло. Код: А206306,#W306,чорний,320,1,чорний
А206,Боді на тіло еротичне. Код: А206829,#W829,чорний,320,1,чорний
А208,Трусики еротичні з доступом. Код: А208,"#6030-1,6030-4",рожевий,100,1,рожевий
А212,Комплект еротичний. Код: А212,"#3030-1, 3030-2",червоний,520,1,червоний
А213,"Комплект еротичний, L. Код: А213","#1718-2, 1718-3",червоний,390,1,L червоний
А214,Еротичні трусики з бусинами. Код: А214,"#3991-1, 3991-2","чорний, червоний",180,2,чорний
А217,Чоловічі стрінги з вирізом. Код: А217,"#1206-4, 1206-6","чорний, червоний",85,2,чорний
K104,Панчохи еротичні. Код: К104,#2127,чорний,250,1,чорний
K106,Панчохи еротичні. Код: К106,#2078,чорно-червоний,300,1,чорно-червоний
K109,Панчохи еротичні. Код: К109,#2025,білий,250,1,білий
K110,Панчохи еротичні. Код: К110,#2014,червоний,290,1,червоний
K114,Панчохи еротичні. Код: К114,#2154,чорний,340,1,чорний
K115,Панчохи еротичні. Код: К115,#2115,чорний,270,1,чорний
K116,Панчохи еротичні. Код: К116,#2132,"чорний, червоний",360,2,чорний
K117,Панчохи еротичні. Код: К117,#2015,чорно-червоний,290,1,чорно-червоний
K124,Панчохи еротичні. Код: К124,#2072,"чорний, червоний",360,2,чорний
K125,Панчохи еротичні. Код: К125,#4185,чорний,320,1,чорний
А156,"Настільна гра ""Ти + Я"" для двох 18+. Код: А156",,,420,1,1 шт
А158,Мотузка для BDSM ігор 10 метрів. Код: А158,,чорний,170,1,1 шт
А159,Пестіси (наліпки на груди) чорні. Код: А159,,чорний,60,1,1 пара
