Код товару,Заголовок,Бренд,Артикул постач.,Колір,"Закупка, грн",тип,,Ціна,фото,Кіл-ть,Розміри в інтернет-магазині,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А20,"Трусики еротичні ""Лілія"", різні кольори. Код: А20",,,різні кольори,80,,,210,,3,рожевий,бордо,білий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А69,"Эротический набор бордо, S, M, L, XL. Код: А69",,#27/13,бордо,285,,,699,,1,L/XL бордо,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А166,"Сексуальний комплект с вишивкою, S. Код: А166",,,мікс кольорів,412,,,980,,1,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А170,"Еротичний комплект кольору ізумруд, L. Код: А170",,,зелений,240,,,700,,1,L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А183,Еротичний комплект в сітку. Код: А183,,"#9046-1, 9046-2","чорний, червоний","112,24",,,350,,2,чорний,червоний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А195,Червоні еротичні колготки з доступом. Код: А195,,#5024,червоний,"118,82",,,250,,1,червоний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А206,Боді сітка на тіло. Код: А206090,,#8836,чорний,"153,07",,,320,,1,чорний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А206,Боді на тіло. Код: А206306,,#W306,чорний,"153,07",,,320,,1,чорний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А206,Боді на тіло еротичне. Код: А206829,,#W829,чорний,"153,07",,,320,,1,чорний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А208,Трусики еротичні з доступом. Код: А208,,"#6030-1,6030-4",рожевий,"42,86",,,100,,1,рожевий,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А212,Комплект еротичний. Код: А212,,"#3030-1, 3030-2",червоний,"224,48",,,520,,1,червоний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А213,"Комплект еротичний, L. Код: А213",,"#1718-2, 1718-3",червоний,"196,42",,,390,,1,L червоний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
А214,Еротичні трусики з бусинами. Код: А214,,"#3991-1, 3991-2","чорний, червоний","47,14",,,180,,2,чорний,червоний,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
